;start;stop;kpi forecast;kpi standard
0;2018-03-18 16:00:00;2018-03-18 17:00:00;0.0;0.7532814280000003
0;2018-03-18 18:20:00;2018-03-18 19:43:00;0.0;-1.3218298030000004
0;2018-03-18 21:40:00;2018-03-18 23:36:00;-0.9943562469999999;-1.7533670099999996
0;2018-03-19 00:40:00;2018-03-19 03:29:00;-2.6134623739999996;-3.2783438229999997
0;2018-03-19 04:40:00;2018-03-19 07:26:00;-2.654544489000001;-2.699497612000001
0;2018-03-19 09:20:00;2018-03-19 11:12:00;0.0;8.631830642
0;2018-03-19 12:40:00;2018-03-19 14:28:00;0.05016409999999998;3.9606753180000007
0;2018-03-19 15:40:00;2018-03-19 18:28:00;-1.867150703;-0.699115381
0;2018-03-19 20:00:00;2018-03-19 21:56:00;0.0;-0.5993248489999998
0;2018-03-19 23:40:00;2018-03-20 00:46:00;0.0;4.166921232000001
0;2018-03-20 02:40:00;2018-03-20 04:52:00;0.0;-1.7214982549999998
0;2018-03-20 07:00:00;2018-03-20 08:57:00;0.0;7.4550464750000005
0;2018-03-20 11:00:00;2018-03-20 13:36:00;-0.49350728200000005;1.932877962
0;2018-03-20 15:20:00;2018-03-20 17:30:00;0.0;-0.6075968320000001
0;2018-03-20 19:00:00;2018-03-20 20:55:00;-1.7606031639999997;-2.1066760099999997
0;2018-03-20 22:00:00;2018-03-20 23:31:00;-1.0039799470000002;-1.4687435470000005
0;2018-03-21 01:00:00;2018-03-21 02:49:00;-0.9935605929999999;-0.7468612830000001
0;2018-03-21 04:00:00;2018-03-21 06:12:00;-1.5646343349999998;-2.418705742
0;2018-03-21 07:20:00;2018-03-21 09:57:00;-3.2114527949999996;-3.9837796980000006
0;2018-03-21 11:40:00;2018-03-21 13:20:00;0.0;-0.8042443439999998
0;2018-03-21 15:20:00;2018-03-21 17:36:00;-0.05309362200000001;2.201097229
0;2018-03-21 19:00:00;2018-03-21 20:56:00;-2.7440573339999994;-3.2149117410000008
0;2018-03-21 22:00:00;2018-03-21 23:40:00;-1.0118790979999999;-1.2251723840000002
0;2018-03-22 01:00:00;2018-03-22 02:02:00;0.0;-0.113337057
0;2018-03-22 03:40:00;2018-03-22 06:15:00;-2.518730585000001;-2.0645426270000002
0;2018-03-22 07:00:00;2018-03-22 08:02:00;0.0;-0.904259226
0;2018-03-22 09:40:00;2018-03-22 12:37:00;0.32637996300000016;0.05245642300000017
0;2018-03-22 14:20:00;2018-03-22 15:22:00;0.037443503;-0.618257938
0;2018-03-22 16:40:00;2018-03-22 18:04:00;0.0;-1.442177433
